Primary Need,Priority Score,Account ID,Account,Category,City,2026 Purchased,2026 Cases,2026 Invoice Count,Latest 2026 Invoice,Account Type,Contact Ready,Contact Summary,Ordering Route,Priority Products Present,Priority Products To Review,Recommended Owner,Next Action,Portal Account URL
contact cleanup first,3481.00,296017,Rooted_2,Vendor - Bar,Minooka,1171.00,8.67,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye, Priority Liqueur","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/296017
contact cleanup first,3463.90,364988,LS Food Wine & Spirits,Vendor - Retail,Chicago,606.00,5.00,1,2026-03-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",none from verified history,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/364988
contact cleanup first,3419.70,89898,Beatrix - Fulton Market,Vendor - Bar,Chicago,1218.00,7.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/89898
contact cleanup first,3419.60,45450,Malloy's Finest Wine & Spirits - Glen Ellyn,Vendor - Retail,Glen Ellyn,2064.00,12.00,2,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Thresh & Winnow","Bourbon, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/45450
contact cleanup first,3377.60,98232,Clark Haus,Vendor - Retail,Chicago,984.00,14.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/98232
contact cleanup first,3365.35,293290,Viceroy Hotel,Vendor - Bar,Chicago,795.92,16.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/293290
contact cleanup first,3317.50,51056,Valli Produce - Evanston,Vendor - Retail,Evanston,1230.00,10.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/51056
contact cleanup first,3264.50,131346,VAI's,Vendor - Bar,Naperville,810.00,9.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Cranberry Gin,"Bourbon, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/131346
contact cleanup first,3236.40,128413,Garfield's Beverage Warehouse - Wicker Park South,Vendor - Retail,Chicago,936.00,7.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye","Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/128413
contact cleanup first,3195.25,330368,Polaris Club,Vendor - Bar,Chicago,816.00,7.67,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Dry Gin","Bourbon, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/330368
contact cleanup first,3185.39,265003,Corridor Brewery and Provisions,Vendor - Bar,Chicago,1054.67,9.67,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin","Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/265003
contact cleanup first,3119.40,302466,Bisous,Vendor - Bar,Chicago,756.00,7.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Dry Gin,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/302466
contact cleanup first,3058.10,208492,Southport Beer Wine & Spirits,Vendor - Retail,Chicago,1254.00,10.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/208492
contact cleanup first,3047.60,230695,Bevda's - Glenwood,Vendor - Retail,Glenwood,984.00,13.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye","Cranberry Gin, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/230695
contact cleanup first,3039.50,368049,Music & Dance Theater Chicago,Vendor - Bar,Chicago,990.00,7.00,1,2026-04-30,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin","Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/368049
contact cleanup first,3038.50,243264,PR Italian Bistro,Vendor - Bar,Chicago,970.00,8.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin","Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/243264
contact cleanup first,3037.50,123485,Hearth & Crust,Vendor - Bar,Chicago,630.00,7.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Cranberry Gin,"Bourbon, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/123485
contact cleanup first,2993.80,25544,Wine Goddess,Vendor - Retail,Evanston,732.00,10.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Dry Gin",Rye,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/25544
contact cleanup first,2982.50,308699,County Market Quincy (Broadway),Vendor - Retail,Quincy,630.00,6.00,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Dry Gin","Bourbon, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/308699
contact cleanup first,2981.30,136992,Garfield's Norridge,Vendor - Retail,Norridge,882.00,8.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/136992
contact cleanup first,2874.70,215461,Mauve-Nosh & Libations,Vendor - Bar,Shorewood,619.00,4.17,5,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",none from verified history,Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/215461
contact cleanup first,2862.60,190808,Sky's Beverage Depot,Vendor - Retail,Chicago,784.00,7.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin","Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/190808
contact cleanup first,2791.23,40325,Careful Peach Boutique,Vendor - Retail,Oak Park,928.04,14.00,2,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/40325
contact cleanup first,2754.30,59507,Garfield's Beverage Express - N. Milwaukee,Vendor - Retail,Chicago,702.00,6.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin","Cranberry Gin, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/59507
contact cleanup first,2705.90,79973,Lakeside Market,Vendor - Retail,Chicago,966.00,7.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye, Dry Gin","Cranberry Gin, Thresh & Winnow",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/79973
contact cleanup first,2699.75,239273,Vintage Oak,Vendor - Bar,Crete,745.00,4.50,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Thresh & Winnow, Rye","Bourbon, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/239273
contact cleanup first,2649.50,308783,Hawksmoor,Vendor - Bar,Chicago,653.31,4.67,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/308783
contact cleanup first,2649.50,323983,Wild Goose Bar and Grill,Vendor - Bar,Chicago,653.31,4.67,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/323983
contact cleanup first,2606.44,38424,Basil Leaf Cafe,Vendor - Bar,Chicago,812.98,7.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Rye, Dry Gin, Priority Liqueur","Bourbon, Cranberry Gin, Thresh & Winnow",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/38424
contact cleanup first,2584.60,127351,Bacaba Inc,Vendor - Retail,Sandwich,864.00,6.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/127351
contact cleanup first,2562.40,202613,South Loop Market (Sheffield),Vendor - Retail,Chicago,576.00,4.00,4,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/202613
contact cleanup first,2529.95,247912,Nobody's Darling,Vendor - Bar,Chicago,752.00,6.33,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Thresh & Winnow, Rye","Bourbon, Cranberry Gin, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/247912
contact cleanup first,2514.80,113553,MORA Asian Kitchen - Oak Park,Vendor - Bar,Oak Park,672.00,12.00,2,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Priority Liqueur,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/113553
contact cleanup first,2489.80,27083,Broadway Food & Liquor,Vendor - Retail,Chicago,972.00,8.00,2,2026-05-31,independent/local,no,John Beverage Manager,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Dry Gin","Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/27083
contact cleanup first,2459.80,50999,Route 66,Vendor - Retail,Berwyn,672.00,6.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Cranberry Gin, Dry Gin","Bourbon, Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/50999
contact cleanup first,2428.20,62763,Meijer - Bolingbrook #215,Vendor - Retail,Bolingbrook,708.00,5.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/62763
contact cleanup first,2420.80,233363,1410 W Devon LLC,Vendor - Retail,Chicago,612.00,6.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Dry Gin","Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/233363
contact cleanup first,2412.60,2802,J & B Food & Liquors,Vendor - Retail,Chicago,684.00,5.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow","Cranberry Gin, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/2802
contact cleanup first,2407.39,59543,Writers' Theatre,Vendor - Bar,Glencoe,675.98,5.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Rye, Dry Gin","Bourbon, Cranberry Gin, Thresh & Winnow",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/59543
contact cleanup first,2401.49,282327,Greater Ravenswood Chamber Of Commerce,Vendor - Bar,Chicago,638.98,5.33,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye","Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/282327
contact cleanup first,2397.00,255082,Garfield's Beverage Warehouse - Wells,Vendor - Retail,Chicago,660.00,5.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/255082
contact cleanup first,2386.45,364994,7th Floor Wine and Spirits,Vendor - Retail,Flossmoor,813.00,3.00,3,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Thresh & Winnow,"Bourbon, Cranberry Gin, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/364994
contact cleanup first,2239.40,220994,Old Irving Brewing,Vendor - Bar,Chicago,756.00,6.00,2,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Thresh & Winnow,"Bourbon, Cranberry Gin, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/220994
contact cleanup first,2192.60,54435,Worldwide Liquor and Foods,Vendor - Retail,Chicago,684.00,6.00,2,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Dry Gin","Thresh & Winnow, Rye",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/54435
contact cleanup first,2012.40,149151,Darien Liquor,Vendor - Retail,Darien,576.00,4.00,2,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,Bourbon,"Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/149151
contact cleanup first,2004.60,62756,Meijer - Aurora #178,Vendor - Retail,Aurora,564.00,4.00,2,2026-05-31,independent/local,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye","Cranberry Gin, Thresh & Winnow, Dry Gin",Most recent visiting rep; otherwise geographic assignment,"Send the most recent visiting rep back for buyer name plus phone or email; if unavailable, assign geographically before outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/62756
reorder/order-taking follow-up,3349.77,47216,Chicago Athletic Association,Vendor - Bar,Chicago,771.96,16.00,4,2026-05-31,independent/local,yes,Ben Galatz / info@chicagoathletichotel.com / (312) 940-3552,live Salesreport/OPS lookup required,"Bourbon, Dry Gin","Cranberry Gin, Thresh & Winnow, Rye",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/47216
reorder/order-taking follow-up,3149.25,1120,Union Pizzeria,Vendor - Bar,Evanston,774.00,7.33,5,2026-05-31,independent/local,yes,Patrick Back Bar / patrick@evanstonspace.com,live Salesreport/OPS lookup required,"Dry Gin, Priority Liqueur","Bourbon, Cranberry Gin, Thresh & Winnow, Rye",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/1120
reorder/order-taking follow-up,2910.70,629,Gene's Sausage Shop Lincoln,Vendor - Retail,Chicago,858.00,12.00,3,2026-05-31,independent/local,yes,Yolanda Derek / yluszcz@hotmail.com,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Priority Liqueur","Thresh & Winnow, Rye, Dry Gin",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/629
reorder/order-taking follow-up,2811.60,44998,Paulina Meat Market,Vendor - Retail,Chicago,1044.00,8.00,3,2026-05-31,independent/local,yes,Jonnhy Begale / billbegale@paulinameatmarket.com,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin","Thresh & Winnow, Rye, Dry Gin",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/44998
reorder/order-taking follow-up,2679.00,42839,Liquor Park,Vendor - Retail,Chicago,840.00,8.00,3,2026-05-31,independent/local,yes,Paul Wonak / shop@drinkliquorpark.com / 773.360.5536,live Salesreport/OPS lookup required,"Cranberry Gin, Thresh & Winnow","Bourbon, Rye, Dry Gin",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/42839
reorder/order-taking follow-up,2671.20,7775,The Drake Hotel,Vendor - Bar,Chicago,828.00,8.00,3,2026-05-31,independent/local,yes,Amy Verdon / Amy.Verdon@hilton.com / 312.932.4307,live Salesreport/OPS lookup required,"Cranberry Gin, Dry Gin","Bourbon, Thresh & Winnow, Rye",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/7775
reorder/order-taking follow-up,2643.57,3059,Lady Gregory's - N. Clark,Vendor - Bar,Chicago,630.65,4.83,4,2026-05-31,independent/local,yes,Candice Allen / candice@mrgchicago.com,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin","Thresh & Winnow, Rye, Dry Gin",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/3059
reorder/order-taking follow-up,2004.60,12507,Main Street Liquors,Vendor - Retail,Countryside,564.00,4.00,2,2026-05-31,independent/local,yes,Nancy Sabatini / nancy@mainstreetwinesandspirits.com,live Salesreport/OPS lookup required,none identified,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",Sales-team territory/relationship assignment pending,Refresh live cadence and activities; the verified ledger is 52 days past its latest invoice. Schedule the check-in by the account's stated visit/phone ordering preference.,https://portal.koval-distillery.com/#/relationship-management/account/view/12507
chain/program work,10598.15,312957,Binny's Elston Ave (Bucktown),Vendor - Retail,Chicago,6931.00,70.00,5,2026-05-31,corporate/program chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",Cranberry Gin,Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/312957
chain/program work,8503.45,1126,Binny's Ivanhoe (Lakeview),Vendor - Retail,Chicago,5542.00,48.33,5,2026-05-31,corporate/program chain,yes,Jim Radice / JRadice@binnys.com / 773-935-9400,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",Cranberry Gin,Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/1126
chain/program work,8227.20,118827,Binny's Evanston,Vendor - Retail,Evanston,5568.00,43.00,5,2026-05-31,corporate/program chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",Cranberry Gin,Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/118827
chain/program work,8180.40,31739,Mariano's - Lawrence (8515),Vendor - Retail,Chicago,5496.00,43.00,5,2026-05-31,corporate/program chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye, Dry Gin","Cranberry Gin, Thresh & Winnow",Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/31739
chain/program work,7802.90,9163,Whole Foods - Lakeview,Vendor - Retail,Chicago,4746.00,45.00,5,2026-05-31,corporate/program chain,yes,Joshua Sovell / joshua.sovell@wholefoods.com / (773) 244-4200,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin, Priority Liqueur",Thresh & Winnow,Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/9163
chain/program work,7113.63,2805,Binny's Marcey St,Vendor - Retail,Chicago,4024.04,41.00,5,2026-05-31,corporate/program chain,yes,Keesha Harrison / lharrison@binnys.com,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",none from verified history,Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/2805
chain/program work,7074.20,2822,Binny's Grand,Vendor - Retail,Chicago,5148.00,32.00,4,2026-05-31,corporate/program chain,yes,Will Heine / will@binnys.com / 312-332-0012,live Salesreport/OPS lookup required,"Bourbon, Thresh & Winnow, Rye, Dry Gin, Priority Liqueur",Cranberry Gin,Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/2822
chain/program work,6960.80,45401,Whole Foods - Edgewater,Vendor - Retail,Chicago,4212.00,36.00,5,2026-05-31,corporate/program chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Sonat and Robert,"Keep program decisions with Sonat and Robert. COT may check shelf condition, facings, MIR/POS, and buyer relationship signals; do not turn this into ordinary rep outreach.",https://portal.koval-distillery.com/#/relationship-management/account/view/45401
